epoch,accuracy,dice_coef,loss,val_accuracy,val_dice_coef,val_loss
0,0.5936937928199768,0.41046270728111267,1.1941959857940674,0.7107570171356201,0.21867170929908752,1.5395978689193726
1,0.7030850648880005,0.5445654988288879,0.9040971398353577,0.7277092933654785,0.30177661776542664,1.265157699584961
2,0.7530800104141235,0.6077299118041992,0.7646392583847046,0.7547848224639893,0.41705960035324097,0.9998042583465576
3,0.7805232405662537,0.6464985609054565,0.6780712008476257,0.7882884740829468,0.4776981472969055,0.8739782571792603
4,0.8181329369544983,0.6956158876419067,0.5797203183174133,0.8033504486083984,0.5543531179428101,0.7359662055969238
5,0.8176560997962952,0.7011440992355347,0.569137692451477,0.785305380821228,0.5835228562355042,0.7189377546310425
6,0.8421990871429443,0.7358230948448181,0.49773210287094116,0.7968568801879883,0.6582633256912231,0.6156666278839111
7,0.8361696004867554,0.7263972163200378,0.5192390084266663,0.7225964069366455,0.6043732762336731,0.7539241313934326
8,0.8541419506072998,0.7516611218452454,0.4583146572113037,0.8155324459075928,0.7090896368026733,0.5494990348815918
9,0.8578848242759705,0.7626215815544128,0.4478599429130554,0.8265424966812134,0.7282708287239075,0.5157424211502075
10,0.864475429058075,0.7707145810127258,0.42023366689682007,0.8345928192138672,0.7423835396766663,0.48943233489990234
11,0.8636085391044617,0.7754353880882263,0.42395010590553284,0.8237708806991577,0.7391306757926941,0.5179959535598755
12,0.8738784193992615,0.7882906198501587,0.3887287974357605,0.8258447647094727,0.7473024725914001,0.5045109987258911
13,0.8820770978927612,0.8001642823219299,0.3643497824668884,0.849307656288147,0.7740965485572815,0.4453352391719818
14,0.8784523010253906,0.7981274724006653,0.36962461471557617,0.8327596187591553,0.7685852646827698,0.4968443810939789
15,0.8818994760513306,0.7997080683708191,0.37273529171943665,0.8246992826461792,0.7571651935577393,0.5052844882011414
16,0.8856953382492065,0.8069390058517456,0.3515501022338867,0.8415555953979492,0.7745553851127625,0.4686959385871887
17,0.8831087350845337,0.8046210408210754,0.35541537404060364,0.8383466005325317,0.7814334034919739,0.4730396270751953
18,0.8874676823616028,0.8094744086265564,0.3498712182044983,0.8436861038208008,0.785297155380249,0.4670676589012146
19,0.8840112686157227,0.8068112134933472,0.3547321856021881,0.8375022411346436,0.7749922275543213,0.4784444570541382
20,0.9047645926475525,0.8345519304275513,0.2919202744960785,0.8448915481567383,0.7856285572052002,0.4646309018135071
21,0.8927072286605835,0.8195686340332031,0.3280726373195648,0.8557366132736206,0.8064672946929932,0.4338126480579376
22,0.8926377296447754,0.8201270699501038,0.32854145765304565,0.8446426391601562,0.7861717939376831,0.4565016031265259
23,0.8975359797477722,0.825455904006958,0.31129711866378784,0.841254711151123,0.7857445478439331,0.4640563428401947
24,0.9034137725830078,0.8338192701339722,0.2945968210697174,0.8459370136260986,0.790947675704956,0.4561067521572113
25,0.9023163914680481,0.8345233201980591,0.2955355942249298,0.831526517868042,0.7714606523513794,0.49348658323287964
26,0.9064734578132629,0.8356335163116455,0.2899101674556732,0.8377742767333984,0.7801421880722046,0.4750713109970093
27,0.9006648659706116,0.8336676359176636,0.2961762547492981,0.8466136455535889,0.7876642346382141,0.4523240029811859
28,0.9103213548660278,0.8453671932220459,0.27026689052581787,0.8452210426330566,0.7951211333274841,0.46116387844085693
29,0.9106715321540833,0.848639965057373,0.26956722140312195,0.8387874364852905,0.7844890356063843,0.4778614044189453
30,0.9059493541717529,0.8403871059417725,0.2801901400089264,0.8468515872955322,0.7944173812866211,0.4572353959083557
31,0.9131459593772888,0.8523393273353577,0.2608238458633423,0.8392319679260254,0.7854653596878052,0.4738592207431793
32,0.9143763184547424,0.8567715883255005,0.25312352180480957,0.8441879749298096,0.7973427176475525,0.4637255072593689
33,0.9159289002418518,0.8556195497512817,0.25177013874053955,0.8573049306869507,0.811163067817688,0.4267560839653015
34,0.9192849397659302,0.8609798550605774,0.2429257482290268,0.8381326198577881,0.7934145927429199,0.48454219102859497
35,0.9087293148040771,0.8498448729515076,0.26828694343566895,0.8343702554702759,0.7884477376937866,0.5025448799133301
36,0.9211049675941467,0.8630134463310242,0.23545710742473602,0.8403799533843994,0.797204852104187,0.4860137701034546
37,0.9178473949432373,0.857277512550354,0.24842947721481323,0.8302707672119141,0.7823933362960815,0.5085617303848267
38,0.9165059328079224,0.8572561740875244,0.2506435811519623,0.8412735462188721,0.7976515293121338,0.4806704819202423
39,0.9138590693473816,0.8555522561073303,0.2576284408569336,0.8563618659973145,0.8154678344726562,0.43577802181243896
40,0.9174104332923889,0.8564348816871643,0.24867841601371765,0.8383300304412842,0.7976275086402893,0.4870449900627136
41,0.9223377704620361,0.86837238073349,0.22856536507606506,0.8452591896057129,0.8038545250892639,0.47732239961624146
42,0.9187642335891724,0.8629619479179382,0.24030685424804688,0.8408761024475098,0.798107922077179,0.5027469396591187
43,0.9196200966835022,0.8602635264396667,0.23925279080867767,0.8319915533065796,0.7846261858940125,0.50608229637146
44,0.9235128164291382,0.868474543094635,0.2289448082447052,0.8397963047027588,0.8001734018325806,0.4884227514266968
45,0.9218200445175171,0.8670313954353333,0.23319992423057556,0.8434140682220459,0.801082968711853,0.4814743399620056
